"Variable code","Variable name","Province","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1975","5843","456"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1975","2871","269"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1975","4066","313"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1975","2531","219"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1975","6040","376"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1975","4229","237"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1975","55","16"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1975","24608","1271"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1975","783","106"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1975","13295","776"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1975","7029","477"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1975","40","10"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1976","6808","502"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1976","2738","283"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1976","4854","385"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1976","3013","166"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1976","5680","390"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1976","4041","211"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1976","48","12"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1976","25930","1320"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1976","915","133"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1976","15418","724"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1976","6520","481"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1976","45","12"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1977","6897","507"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1977","2568","261"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1977","4323","329"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1977","2871","153"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1977","7219","446"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1977","4137","238"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1977","142","53"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1977","26091","1406"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1977","814","133"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1977","15237","761"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1977","4916","389"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1977","40","8"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1978","7581","489"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1978","3079","296"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1978","6289","396"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1978","2849","148"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1978","6622","391"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1978","3915","215"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1978","146","52"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1978","31626","1411"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1978","752","112"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1978","17963","726"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1978","7849","475"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1978","50","10"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1979","5783","482"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1979","2646","229"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1979","3993","331"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1979","2404","143"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1979","5804","423"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1979","2832","200"
