"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1975","2767","330"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1975","3076","315"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1975","1228","185"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1975","1643","195"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1975","2987","276"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1975","1079","148"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1975","1693","189"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1975","838","111"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1975","5557","363"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1975","483","96"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1975","2551","192"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1975","1678","138"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1975","55","16"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1975","7514","488"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1975","12976","1090"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1975","4118","435"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1975","783","106"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1975","10857","719"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1975","2438","292"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1975","3019","350"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1975","976","144"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1975","3034","289"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1975","40","10"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1976","2514","303"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1976","4294","400"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1976","850","150"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1976","1888","240"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1976","3599","340"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1976","1255","181"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1976","2006","130"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1976","1007","103"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1976","5269","380"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1976","411","87"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1976","2689","174"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1976","1352","119"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1976","48","12"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1976","6835","480"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1976","15245","1157"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1976","3850","415"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1976","915","133"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1976","12279","658"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1976","3139","303"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1976","2454","321"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1976","1084","156"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1976","2982","322"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1976","45","12"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1977","2724","305"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1977","4173","405"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1977","1034","158"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1977","1534","208"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1977","3454","304"
