"Variable code","Variable name","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","All hunters","1975","71390","1755"
"ACTIOT","Active non-waterfowl hunters","All hunters","1976","76010","1794"
"ACTIOT","Active non-waterfowl hunters","All hunters","1977","75255","1854"
"ACTIOT","Active non-waterfowl hunters","All hunters","1978","88721","1861"
"ACTIOT","Active non-waterfowl hunters","All hunters","1979","67080","1707"
"ACTIOT","Active non-waterfowl hunters","All hunters","1980","73802","1724"
"ACTIOT","Active non-waterfowl hunters","All hunters","1981","67956","1728"
"ACTIOT","Active non-waterfowl hunters","All hunters","1982","69849","1808"
"ACTIOT","Active non-waterfowl hunters","All hunters","1983","65447","1410"
"ACTIOT","Active non-waterfowl hunters","All hunters","1984","62481","1332"
"ACTIOT","Active non-waterfowl hunters","All hunters","1985","56202","1238"
"ACTIOT","Active non-waterfowl hunters","All hunters","1986","57383","1193"
"ACTIOT","Active non-waterfowl hunters","All hunters","1987","55213","1249"
"ACTIOT","Active non-waterfowl hunters","All hunters","1988","40607","936"
"ACTIOT","Active non-waterfowl hunters","All hunters","1989","46027","999"
"ACTIOT","Active non-waterfowl hunters","All hunters","1990","43141","942"
"ACTIOT","Active non-waterfowl hunters","All hunters","1991","40726","922"
"ACTIOT","Active non-waterfowl hunters","All hunters","1992","39962","831"
"ACTIOT","Active non-waterfowl hunters","All hunters","1993","37145","825"
"ACTIOT","Active non-waterfowl hunters","All hunters","1994","34721","774"
"ACTIOT","Active non-waterfowl hunters","All hunters","1995","31686","724"
"ACTIOT","Active non-waterfowl hunters","All hunters","1996","29387","684"
"ACTIOT","Active non-waterfowl hunters","All hunters","1997","20549","568"
"ACTIOT","Active non-waterfowl hunters","All hunters","1998","24000","594"
"ACTIOT","Active non-waterfowl hunters","All hunters","1999","23315","584"
"ACTIOT","Active non-waterfowl hunters","All hunters","2000","22990","596"
"ACTIOT","Active non-waterfowl hunters","All hunters","2001","19146","535"
"ACTIOT","Active non-waterfowl hunters","All hunters","2002","25255","617"
"ACTIOT","Active non-waterfowl hunters","All hunters","2003","17656","527"
"ACTIOT","Active non-waterfowl hunters","All hunters","2004","17652","544"
"ACTIOT","Active non-waterfowl hunters","All hunters","2005","17181","544"
"ACTIOT","Active non-waterfowl hunters","All hunters","2006","21190","630"
"ACTIOT","Active non-waterfowl hunters","All hunters","2007","20609","601"
"ACTIOT","Active non-waterfowl hunters","All hunters","2008","20994","650"
"ACTIOT","Active non-waterfowl hunters","All hunters","2009","19057","648"
"ACTIOT","Active non-waterfowl hunters","All hunters","2010","14160","550"
"ACTIOT","Active non-waterfowl hunters","All hunters","2011","19740","636"
"ACTIOT","Active non-waterfowl hunters","All hunters","2012","20693","724"
"ACTIOT","Active non-waterfowl hunters","All hunters","2013","26117","941"
"ACTIOT","Active non-waterfowl hunters","All hunters","2014","18381","797"
"ACTIOT","Active non-waterfowl hunters","All hunters","2015","17214","707"
"ACTIOT","Active non-waterfowl hunters","All hunters","2016","16568","681"
"ACTIOT","Active non-waterfowl hunters","All hunters","2017","16967","711"
"ACTIOT","Active non-waterfowl hunters","All hunters","2018","15679","637"
"ACTIWF","Active waterfowl hunters","All hunters","1975","379792","3090"
"ACTIWF","Active waterfowl hunters","All hunters","1976","391583","3015"
"ACTIWF","Active waterfowl hunters","All hunters","1977","411161","3116"
"ACTIWF","Active waterfowl hunters","All hunters","1978","410217","2888"
"ACTIWF","Active waterfowl hunters","All hunters","1979","382059","3052"
"ACTIWF","Active waterfowl hunters","All hunters","1980","384584","2934"
"ACTIWF","Active waterfowl hunters","All hunters","1981","347884","2995"
"ACTIWF","Active waterfowl hunters","All hunters","1982","353053","3026"
"ACTIWF","Active waterfowl hunters","All hunters","1983","343799","2463"
"ACTIWF","Active waterfowl hunters","All hunters","1984","316967","2320"
"ACTIWF","Active waterfowl hunters","All hunters","1985","295892","2173"
"ACTIWF","Active waterfowl hunters","All hunters","1986","300079","2060"
"ACTIWF","Active waterfowl hunters","All hunters","1987","271146","2112"
"ACTIWF","Active waterfowl hunters","All hunters","1988","234755","1710"
"ACTIWF","Active waterfowl hunters","All hunters","1989","236065","1745"
"ACTIWF","Active waterfowl hunters","All hunters","1990","233259","1680"
"ACTIWF","Active waterfowl hunters","All hunters","1991","214598","1633"
"ACTIWF","Active waterfowl hunters","All hunters","1992","205217","1452"
"ACTIWF","Active waterfowl hunters","All hunters","1993","198943","1455"
"ACTIWF","Active waterfowl hunters","All hunters","1994","195936","1381"
"ACTIWF","Active waterfowl hunters","All hunters","1995","185642","1340"
"ACTIWF","Active waterfowl hunters","All hunters","1996","178253","1279"
"ACTIWF","Active waterfowl hunters","All hunters","1997","164914","1200"
"ACTIWF","Active waterfowl hunters","All hunters","1998","160185","1157"
"ACTIWF","Active waterfowl hunters","All hunters","1999","155430","1137"
"ACTIWF","Active waterfowl hunters","All hunters","2000","150491","1120"
"ACTIWF","Active waterfowl hunters","All hunters","2001","138020","1061"
"ACTIWF","Active waterfowl hunters","All hunters","2002","133517","1126"
"ACTIWF","Active waterfowl hunters","All hunters","2003","129292","1097"
"ACTIWF","Active waterfowl hunters","All hunters","2004","127547","1174"
"ACTIWF","Active waterfowl hunters","All hunters","2005","124090","1167"
