"Species code","Species name","Province","Year","Estimate","± 1 standard error"
"300","Common Murre","Newfoundland and Labrador","2013","47140","5102"
"300","Common Murre","Newfoundland and Labrador","2014","40373","4677"
"300","Common Murre","Newfoundland and Labrador","2015","17515","2211"
"300","Common Murre","Newfoundland and Labrador","2016","21717","2655"
"300","Common Murre","Newfoundland and Labrador","2017","41657","4423"
"300","Common Murre","Newfoundland and Labrador","2018","32347","3428"
"310","Thick-billed Murre","Newfoundland and Labrador","2013","66970","6494"
"310","Thick-billed Murre","Newfoundland and Labrador","2014","63430","7232"
"310","Thick-billed Murre","Newfoundland and Labrador","2015","50352","5438"
"310","Thick-billed Murre","Newfoundland and Labrador","2016","94849","8640"
"310","Thick-billed Murre","Newfoundland and Labrador","2017","60111","5516"
"310","Thick-billed Murre","Newfoundland and Labrador","2018","39550","4011"
"1290","Common Merganser","New Brunswick","1969","241","66"
"1290","Common Merganser","Newfoundland and Labrador","1969","7863","2023"
"1290","Common Merganser","Nova Scotia","1969","1352","343"
"1290","Common Merganser","Ontario","1969","3905","706"
"1290","Common Merganser","Prince Edward Island","1969","223","57"
"1290","Common Merganser","Quebec","1969","3034","431"
"1290","Common Merganser","British Columbia","1970","192","27"
"1290","Common Merganser","Manitoba","1970","150","6"
"1290","Common Merganser","New Brunswick","1970","194","54"
"1290","Common Merganser","Newfoundland and Labrador","1970","3228","907"
"1290","Common Merganser","Nova Scotia","1970","1139","184"
"1290","Common Merganser","Ontario","1970","4149","599"
"1290","Common Merganser","Prince Edward Island","1970","177","46"
"1290","Common Merganser","Quebec","1970","3342","511"
"1290","Common Merganser","British Columbia","1971","301","46"
"1290","Common Merganser","Manitoba","1971","54","2"
"1290","Common Merganser","New Brunswick","1971","234","68"
"1290","Common Merganser","Newfoundland and Labrador","1971","4829","1479"
"1290","Common Merganser","Nova Scotia","1971","942","160"
"1290","Common Merganser","Ontario","1971","2329","294"
"1290","Common Merganser","Prince Edward Island","1971","224","60"
"1290","Common Merganser","Quebec","1971","4261","579"
"1290","Common Merganser","Alberta","1972","277","21"
"1290","Common Merganser","British Columbia","1972","299","29"
"1290","Common Merganser","Manitoba","1972","75","4"
"1290","Common Merganser","New Brunswick","1972","37","14"
"1290","Common Merganser","Newfoundland and Labrador","1972","3649","979"
"1290","Common Merganser","Nova Scotia","1972","2252","338"
"1290","Common Merganser","Ontario","1972","3604","1001"
"1290","Common Merganser","Prince Edward Island","1972","34","8"
"1290","Common Merganser","Quebec","1972","9419","1023"
"1290","Common Merganser","Saskatchewan","1972","322","27"
"1290","Common Merganser","Alberta","1973","379","29"
"1290","Common Merganser","British Columbia","1973","393","50"
"1290","Common Merganser","New Brunswick","1973","154","37"
"1290","Common Merganser","Newfoundland and Labrador","1973","1313","394"
"1290","Common Merganser","Nova Scotia","1973","1638","281"
"1290","Common Merganser","Ontario","1973","4919","631"
"1290","Common Merganser","Quebec","1973","6868","738"
"1290","Common Merganser","British Columbia","1974","483","157"
"1290","Common Merganser","Manitoba","1974","540","51"
"1290","Common Merganser","New Brunswick","1974","440","100"
"1290","Common Merganser","Newfoundland and Labrador","1974","8079","2076"
"1290","Common Merganser","Nova Scotia","1974","3050","483"
"1290","Common Merganser","Ontario","1974","3155","210"
"1290","Common Merganser","Prince Edward Island","1974","158","38"
"1290","Common Merganser","Quebec","1974","9736","1059"
"1290","Common Merganser","British Columbia","1975","1141","105"
"1290","Common Merganser","Manitoba","1975","128","11"
"1290","Common Merganser","New Brunswick","1975","227","21"
"1290","Common Merganser","Newfoundland and Labrador","1975","5970","460"
"1290","Common Merganser","Nova Scotia","1975","5097","479"
"1290","Common Merganser","Ontario","1975","4569","199"
"1290","Common Merganser","Prince Edward Island","1975","83","23"
"1290","Common Merganser","Quebec","1975","12829","900"
"1290","Common Merganser","Yukon Territory","1975","101","21"
"1290","Common Merganser","British Columbia","1976","167","28"
"1290","Common Merganser","New Brunswick","1976","584","130"
"1290","Common Merganser","Newfoundland and Labrador","1976","3913","361"
"1290","Common Merganser","Nova Scotia","1976","710","48"
"1290","Common Merganser","Ontario","1976","3574","221"
"1290","Common Merganser","Quebec","1976","13453","901"
"1290","Common Merganser","British Columbia","1977","97","0"
"1290","Common Merganser","New Brunswick","1977","1006","0"
"1290","Common Merganser","Newfoundland and Labrador","1977","4379","0"
"1290","Common Merganser","Nova Scotia","1977","2486","0"
"1290","Common Merganser","Northwest Territories","1977","246","0"
"1290","Common Merganser","Ontario","1977","3695","0"
"1290","Common Merganser","Prince Edward Island","1977","270","0"
"1290","Common Merganser","Quebec","1977","10017","0"
"1290","Common Merganser","British Columbia","1978","66","7"
"1290","Common Merganser","Manitoba","1978","282","39"
"1290","Common Merganser","New Brunswick","1978","580","34"
"1290","Common Merganser","Newfoundland and Labrador","1978","11226","642"
"1290","Common Merganser","Nova Scotia","1978","2349","151"
"1290","Common Merganser","Ontario","1978","5335","206"
"1290","Common Merganser","Prince Edward Island","1978","110","22"
"1290","Common Merganser","Quebec","1978","14230","707"
"1290","Common Merganser","Yukon Territory","1978","29","9"
"1290","Common Merganser","Alberta","1979","345","15"
"1290","Common Merganser","British Columbia","1979","69","9"
"1290","Common Merganser","New Brunswick","1979","852","59"
"1290","Common Merganser","Newfoundland and Labrador","1979","6701","736"
"1290","Common Merganser","Nova Scotia","1979","1093","112"
"1290","Common Merganser","Ontario","1979","4969","237"
"1290","Common Merganser","Prince Edward Island","1979","315","35"
"1290","Common Merganser","Quebec","1979","12111","899"
"1290","Common Merganser","British Columbia","1980","52","6"
"1290","Common Merganser","New Brunswick","1980","576","46"
"1290","Common Merganser","Newfoundland and Labrador","1980","3939","335"
"1290","Common Merganser","Nova Scotia","1980","1925","157"
"1290","Common Merganser","Northwest Territories","1980","301","182"
"1290","Common Merganser","Ontario","1980","7256","412"
"1290","Common Merganser","Quebec","1980","15993","797"
"1290","Common Merganser","Alberta","1981","347","28"
"1290","Common Merganser","British Columbia","1981","397","38"
"1290","Common Merganser","New Brunswick","1981","995","66"
"1290","Common Merganser","Newfoundland and Labrador","1981","6795","973"
"1290","Common Merganser","Nova Scotia","1981","2125","188"
"1290","Common Merganser","Ontario","1981","5367","260"
"1290","Common Merganser","Quebec","1981","13464","889"
"1290","Common Merganser","Saskatchewan","1981","178","24"
"1290","Common Merganser","British Columbia","1982","235","20"
"1290","Common Merganser","Manitoba","1982","1043","144"
"1290","Common Merganser","New Brunswick","1982","1654","150"
"1290","Common Merganser","Newfoundland and Labrador","1982","4834","956"
"1290","Common Merganser","Nova Scotia","1982","1020","97"
"1290","Common Merganser","Ontario","1982","3851","204"
"1290","Common Merganser","Quebec","1982","16713","975"
