"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"300","Common Murre","Newfoundland and Labrador","1","2013","47140","5102"
"300","Common Murre","Newfoundland and Labrador","1","2014","40373","4677"
"300","Common Murre","Newfoundland and Labrador","1","2015","17515","2211"
"300","Common Murre","Newfoundland and Labrador","1","2016","21717","2655"
"300","Common Murre","Newfoundland and Labrador","1","2017","39894","4188"
"300","Common Murre","Newfoundland and Labrador","2","2017","1763","1424"
"300","Common Murre","Newfoundland and Labrador","1","2018","32347","3428"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2013","66970","6494"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2014","63430","7232"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2015","50352","5438"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2016","94849","8640"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2017","59670","5504"
"310","Thick-billed Murre","Newfoundland and Labrador","2","2017","441","356"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2018","39550","4011"
"1290","Common Merganser","New Brunswick","1","1969","112","44"
"1290","Common Merganser","New Brunswick","2","1969","129","49"
"1290","Common Merganser","Newfoundland and Labrador","1","1969","7356","1973"
"1290","Common Merganser","Newfoundland and Labrador","2","1969","507","447"
"1290","Common Merganser","Nova Scotia","1","1969","308","60"
"1290","Common Merganser","Nova Scotia","2","1969","1044","338"
"1290","Common Merganser","Ontario","1","1969","1300","636"
"1290","Common Merganser","Ontario","2","1969","1927","271"
"1290","Common Merganser","Ontario","3","1969","678","145"
"1290","Common Merganser","Prince Edward Island","1","1969","223","57"
"1290","Common Merganser","Quebec","1","1969","2460","414"
"1290","Common Merganser","Quebec","2","1969","574","121"
"1290","Common Merganser","British Columbia","1","1970","124","17"
"1290","Common Merganser","British Columbia","2","1970","68","21"
"1290","Common Merganser","Manitoba","1","1970","150","6"
"1290","Common Merganser","New Brunswick","1","1970","109","42"
"1290","Common Merganser","New Brunswick","2","1970","85","34"
"1290","Common Merganser","Newfoundland and Labrador","1","1970","2777","810"
"1290","Common Merganser","Newfoundland and Labrador","2","1970","451","409"
"1290","Common Merganser","Nova Scotia","1","1970","883","164"
"1290","Common Merganser","Nova Scotia","2","1970","256","83"
"1290","Common Merganser","Ontario","1","1970","958","462"
"1290","Common Merganser","Ontario","2","1970","2263","323"
"1290","Common Merganser","Ontario","3","1970","928","202"
"1290","Common Merganser","Prince Edward Island","1","1970","177","46"
"1290","Common Merganser","Quebec","1","1970","3122","509"
"1290","Common Merganser","Quebec","2","1970","220","48"
"1290","Common Merganser","British Columbia","1","1971","186","27"
"1290","Common Merganser","British Columbia","2","1971","115","37"
"1290","Common Merganser","Manitoba","1","1971","54","2"
"1290","Common Merganser","New Brunswick","1","1971","157","61"
"1290","Common Merganser","New Brunswick","2","1971","77","29"
"1290","Common Merganser","Newfoundland and Labrador","1","1971","4687","1473"
"1290","Common Merganser","Newfoundland and Labrador","2","1971","142","134"
"1290","Common Merganser","Nova Scotia","1","1971","797","153"
"1290","Common Merganser","Nova Scotia","2","1971","145","48"
"1290","Common Merganser","Ontario","2","1971","1311","190"
"1290","Common Merganser","Ontario","3","1971","1018","224"
"1290","Common Merganser","Prince Edward Island","1","1971","224","60"
"1290","Common Merganser","Quebec","1","1971","3426","551"
"1290","Common Merganser","Quebec","2","1971","835","177"
"1290","Common Merganser","Alberta","1","1972","277","21"
"1290","Common Merganser","British Columbia","1","1972","247","24"
"1290","Common Merganser","British Columbia","2","1972","52","16"
"1290","Common Merganser","Manitoba","1","1972","75","4"
"1290","Common Merganser","New Brunswick","1","1972","37","14"
"1290","Common Merganser","Newfoundland and Labrador","1","1972","2884","688"
"1290","Common Merganser","Newfoundland and Labrador","2","1972","765","697"
"1290","Common Merganser","Nova Scotia","1","1972","1560","252"
"1290","Common Merganser","Nova Scotia","2","1972","692","225"
"1290","Common Merganser","Ontario","1","1972","2190","993"
"1290","Common Merganser","Ontario","2","1972","927","73"
"1290","Common Merganser","Ontario","3","1972","487","102"
"1290","Common Merganser","Prince Edward Island","1","1972","34","8"
"1290","Common Merganser","Quebec","1","1972","7075","966"
"1290","Common Merganser","Quebec","2","1972","2344","337"
"1290","Common Merganser","Saskatchewan","2","1972","322","27"
"1290","Common Merganser","Alberta","1","1973","379","29"
"1290","Common Merganser","British Columbia","1","1973","250","28"
"1290","Common Merganser","British Columbia","2","1973","143","42"
"1290","Common Merganser","New Brunswick","1","1973","50","19"
"1290","Common Merganser","New Brunswick","2","1973","104","32"
"1290","Common Merganser","Newfoundland and Labrador","1","1973","1186","375"
"1290","Common Merganser","Newfoundland and Labrador","2","1973","127","121"
"1290","Common Merganser","Nova Scotia","1","1973","1303","260"
"1290","Common Merganser","Nova Scotia","2","1973","335","107"
"1290","Common Merganser","Ontario","1","1973","1172","543"
"1290","Common Merganser","Ontario","2","1973","2685","232"
"1290","Common Merganser","Ontario","3","1973","1062","222"
"1290","Common Merganser","Quebec","1","1973","4772","633"
"1290","Common Merganser","Quebec","2","1973","2096","380"
"1290","Common Merganser","British Columbia","2","1974","483","157"
"1290","Common Merganser","Manitoba","2","1974","540","51"
"1290","Common Merganser","New Brunswick","1","1974","207","75"
"1290","Common Merganser","New Brunswick","2","1974","233","66"
"1290","Common Merganser","Newfoundland and Labrador","1","1974","7234","1950"
"1290","Common Merganser","Newfoundland and Labrador","2","1974","845","711"
"1290","Common Merganser","Nova Scotia","1","1974","1903","326"
"1290","Common Merganser","Nova Scotia","2","1974","1147","356"
"1290","Common Merganser","Ontario","1","1974","130","61"
"1290","Common Merganser","Ontario","2","1974","2637","187"
"1290","Common Merganser","Ontario","3","1974","388","73"
"1290","Common Merganser","Prince Edward Island","1","1974","158","38"
"1290","Common Merganser","Quebec","1","1974","7622","992"
"1290","Common Merganser","Quebec","2","1974","2114","372"
"1290","Common Merganser","British Columbia","1","1975","784","93"
"1290","Common Merganser","British Columbia","2","1975","357","48"
"1290","Common Merganser","Manitoba","1","1975","128","11"
"1290","Common Merganser","New Brunswick","1","1975","87","8"
"1290","Common Merganser","New Brunswick","2","1975","140","19"
"1290","Common Merganser","Newfoundland and Labrador","1","1975","4960","415"
"1290","Common Merganser","Newfoundland and Labrador","2","1975","1010","198"
"1290","Common Merganser","Nova Scotia","1","1975","2169","201"
"1290","Common Merganser","Nova Scotia","2","1975","2928","435"
"1290","Common Merganser","Ontario","1","1975","457","37"
"1290","Common Merganser","Ontario","2","1975","1363","88"
"1290","Common Merganser","Ontario","3","1975","2749","175"
"1290","Common Merganser","Prince Edward Island","1","1975","83","23"
"1290","Common Merganser","Quebec","1","1975","10310","857"
"1290","Common Merganser","Quebec","2","1975","2519","275"
