"Species code","Species name","Year","Estimate","± 1 standard error"
"300","Common Murre","2013","47140","5102"
"300","Common Murre","2014","40373","4677"
"300","Common Murre","2015","17515","2211"
"300","Common Murre","2016","21717","2655"
"300","Common Murre","2017","41657","4423"
"300","Common Murre","2018","32347","3428"
"310","Thick-billed Murre","2013","66970","6494"
"310","Thick-billed Murre","2014","63430","7232"
"310","Thick-billed Murre","2015","50352","5438"
"310","Thick-billed Murre","2016","94849","8640"
"310","Thick-billed Murre","2017","60111","5516"
"310","Thick-billed Murre","2018","39550","4011"
"1290","Common Merganser","1969","16618","2214"
"1290","Common Merganser","1970","12571","1218"
"1290","Common Merganser","1971","13174","1626"
"1290","Common Merganser","1972","19968","1768"
"1290","Common Merganser","1973","15664","1087"
"1290","Common Merganser","1974","25641","2397"
"1290","Common Merganser","1975","30145","1142"
"1290","Common Merganser","1976","22401","1006"
"1290","Common Merganser","1977","22196","0"
"1290","Common Merganser","1978","34207","990"
"1290","Common Merganser","1979","26455","1193"
"1290","Common Merganser","1980","30042","988"
"1290","Common Merganser","1981","29668","1359"
"1290","Common Merganser","1982","29350","1400"
"1290","Common Merganser","1983","30611","1343"
"1290","Common Merganser","1984","27540","4552"
"1290","Common Merganser","1985","28331","4700"
"1290","Common Merganser","1986","30690","8064"
"1290","Common Merganser","1987","25443","5591"
"1290","Common Merganser","1988","23890","4621"
"1290","Common Merganser","1989","19019","4329"
"1290","Common Merganser","1990","20837","6306"
"1290","Common Merganser","1991","14168","3510"
"1290","Common Merganser","1992","20239","2777"
"1290","Common Merganser","1993","12275","1617"
"1290","Common Merganser","1994","17648","2648"
"1290","Common Merganser","1995","16839","2310"
"1290","Common Merganser","1996","16157","1743"
"1290","Common Merganser","1997","14948","2065"
"1290","Common Merganser","1998","12559","1520"
"1290","Common Merganser","1999","9922","1255"
"1290","Common Merganser","2000","8008","1061"
"1290","Common Merganser","2001","8246","1175"
"1290","Common Merganser","2002","6896","1017"
"1290","Common Merganser","2003","7164","1282"
"1290","Common Merganser","2004","8716","1714"
"1290","Common Merganser","2005","5564","1210"
"1290","Common Merganser","2006","4319","1009"
"1290","Common Merganser","2007","7719","1406"
"1290","Common Merganser","2008","4721","1273"
"1290","Common Merganser","2009","8740","2234"
"1290","Common Merganser","2010","8242","1466"
"1290","Common Merganser","2011","7418","1515"
"1290","Common Merganser","2012","6658","1743"
"1290","Common Merganser","2013","4335","1257"
"1290","Common Merganser","2014","8696","2385"
"1290","Common Merganser","2015","12724","4005"
"1290","Common Merganser","2016","2161","555"
"1290","Common Merganser","2017","3380","955"
"1290","Common Merganser","2018","3869","922"
"1300","Red-breasted Merganser","1969","10354","2063"
"1300","Red-breasted Merganser","1970","15965","2439"
"1300","Red-breasted Merganser","1971","14078","1771"
"1300","Red-breasted Merganser","1972","23782","3884"
"1300","Red-breasted Merganser","1973","13179","1615"
