"Species code","Species name","Province","Year","Annual age ratio"
"300","Common Murre","Newfoundland and Labrador","2013","1.4"
"300","Common Murre","Newfoundland and Labrador","2014","0.73"
"300","Common Murre","Newfoundland and Labrador","2015","0.56"
"300","Common Murre","Newfoundland and Labrador","2016","0.56"
"300","Common Murre","New Brunswick","2017",""
"300","Common Murre","Newfoundland and Labrador","2017","0.62"
"300","Common Murre","Newfoundland and Labrador","2018","0.71"
"310","Thick-billed Murre","Newfoundland and Labrador","2013","2"
"310","Thick-billed Murre","Newfoundland and Labrador","2014","1.73"
"310","Thick-billed Murre","Newfoundland and Labrador","2015","2.11"
"310","Thick-billed Murre","Newfoundland and Labrador","2016","1.34"
"310","Thick-billed Murre","New Brunswick","2017",""
"310","Thick-billed Murre","Newfoundland and Labrador","2017","1.05"
"310","Thick-billed Murre","Newfoundland and Labrador","2018","0.52"
"1290","Common Merganser","New Brunswick","1969",""
"1290","Common Merganser","Newfoundland and Labrador","1969","2.14"
"1290","Common Merganser","Nova Scotia","1969",""
"1290","Common Merganser","Ontario","1969","3.43"
"1290","Common Merganser","Prince Edward Island","1969",""
"1290","Common Merganser","Quebec","1969","3.4"
"1290","Common Merganser","British Columbia","1970",""
"1290","Common Merganser","Manitoba","1970",""
"1290","Common Merganser","New Brunswick","1970",""
"1290","Common Merganser","Newfoundland and Labrador","1970",""
"1290","Common Merganser","Nova Scotia","1970",""
"1290","Common Merganser","Ontario","1970","1.06"
"1290","Common Merganser","Prince Edward Island","1970",""
"1290","Common Merganser","Quebec","1970","1.67"
"1290","Common Merganser","British Columbia","1971",""
"1290","Common Merganser","Manitoba","1971",""
"1290","Common Merganser","New Brunswick","1971",""
"1290","Common Merganser","Newfoundland and Labrador","1971",""
"1290","Common Merganser","Nova Scotia","1971","0.67"
"1290","Common Merganser","Ontario","1971","2"
"1290","Common Merganser","Prince Edward Island","1971",""
"1290","Common Merganser","Quebec","1971","1.23"
"1290","Common Merganser","Alberta","1972",""
"1290","Common Merganser","British Columbia","1972",""
"1290","Common Merganser","Manitoba","1972",""
"1290","Common Merganser","New Brunswick","1972",""
"1290","Common Merganser","Newfoundland and Labrador","1972",""
"1290","Common Merganser","Nova Scotia","1972","3.89"
"1290","Common Merganser","Ontario","1972","0.8"
"1290","Common Merganser","Prince Edward Island","1972",""
"1290","Common Merganser","Quebec","1972","1.27"
"1290","Common Merganser","Saskatchewan","1972",""
"1290","Common Merganser","Alberta","1973",""
"1290","Common Merganser","British Columbia","1973",""
"1290","Common Merganser","New Brunswick","1973",""
"1290","Common Merganser","Newfoundland and Labrador","1973",""
