"Species code","Species name","Province","Zone","Year","Annual age ratio"
"300","Common Murre","Newfoundland and Labrador","1","2013","1.4"
"300","Common Murre","Newfoundland and Labrador","1","2014","0.73"
"300","Common Murre","Newfoundland and Labrador","1","2015","0.56"
"300","Common Murre","Newfoundland and Labrador","1","2016","0.56"
"300","Common Murre","New Brunswick","1","2017",""
"300","Common Murre","Newfoundland and Labrador","1","2017","0.63"
"300","Common Murre","Newfoundland and Labrador","2","2017",""
"300","Common Murre","Newfoundland and Labrador","1","2018","0.71"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2013","2"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2014","1.73"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2015","2.11"
"310","Thick-billed Murre","Newfoundland and Labrador","1","2016","1.34"
"310","Thick-billed Murre","New Brunswick","1","2017",""
"310","Thick-billed Murre","Newfoundland and Labrador","1","2017","1.04"
"310","Thick-billed Murre","Newfoundland and Labrador","2","2017",""
"310","Thick-billed Murre","Newfoundland and Labrador","1","2018","0.52"
"1290","Common Merganser","New Brunswick","1","1969",""
"1290","Common Merganser","New Brunswick","2","1969",""
"1290","Common Merganser","Newfoundland and Labrador","1","1969","1.86"
"1290","Common Merganser","Newfoundland and Labrador","2","1969",""
"1290","Common Merganser","Nova Scotia","1","1969",""
"1290","Common Merganser","Nova Scotia","2","1969",""
"1290","Common Merganser","Ontario","1","1969",""
"1290","Common Merganser","Ontario","2","1969",""
"1290","Common Merganser","Ontario","3","1969",""
"1290","Common Merganser","Prince Edward Island","1","1969",""
"1290","Common Merganser","Quebec","1","1969",""
"1290","Common Merganser","Quebec","2","1969",""
"1290","Common Merganser","British Columbia","1","1970",""
"1290","Common Merganser","British Columbia","2","1970",""
"1290","Common Merganser","Manitoba","1","1970",""
"1290","Common Merganser","New Brunswick","1","1970",""
"1290","Common Merganser","New Brunswick","2","1970",""
"1290","Common Merganser","Newfoundland and Labrador","1","1970",""
"1290","Common Merganser","Newfoundland and Labrador","2","1970",""
"1290","Common Merganser","Nova Scotia","1","1970",""
"1290","Common Merganser","Nova Scotia","2","1970",""
"1290","Common Merganser","Ontario","1","1970",""
"1290","Common Merganser","Ontario","2","1970",""
"1290","Common Merganser","Ontario","3","1970",""
"1290","Common Merganser","Prince Edward Island","1","1970",""
"1290","Common Merganser","Quebec","1","1970","1.56"
"1290","Common Merganser","Quebec","2","1970",""
"1290","Common Merganser","British Columbia","1","1971",""
"1290","Common Merganser","British Columbia","2","1971",""
"1290","Common Merganser","Manitoba","1","1971",""
"1290","Common Merganser","New Brunswick","1","1971",""
"1290","Common Merganser","New Brunswick","2","1971",""
"1290","Common Merganser","Newfoundland and Labrador","1","1971",""
"1290","Common Merganser","Newfoundland and Labrador","2","1971",""
"1290","Common Merganser","Nova Scotia","1","1971",""
"1290","Common Merganser","Nova Scotia","2","1971",""
