"Species code","Species name","Year","Annual age ratio"
"300","Common Murre","2013","1.4"
"300","Common Murre","2014","0.73"
"300","Common Murre","2015","0.56"
"300","Common Murre","2016","0.56"
"300","Common Murre","2017","0.65"
"300","Common Murre","2018","0.71"
"310","Thick-billed Murre","2013","2"
"310","Thick-billed Murre","2014","1.73"
"310","Thick-billed Murre","2015","2.11"
"310","Thick-billed Murre","2016","1.34"
"310","Thick-billed Murre","2017","1.07"
"310","Thick-billed Murre","2018","0.52"
"1290","Common Merganser","1969","2.83"
"1290","Common Merganser","1970","1.09"
"1290","Common Merganser","1971","1.28"
"1290","Common Merganser","1972","1.77"
"1290","Common Merganser","1973","3.33"
"1290","Common Merganser","1974","3.94"
"1290","Common Merganser","1975","3.1"
"1290","Common Merganser","1976","3.15"
"1290","Common Merganser","1977","3.08"
"1290","Common Merganser","1978","2.61"
"1290","Common Merganser","1979","3.29"
"1290","Common Merganser","1980","3.82"
"1290","Common Merganser","1981","4.46"
"1290","Common Merganser","1982","3.28"
"1290","Common Merganser","1983","2.33"
"1290","Common Merganser","1984","2.08"
"1290","Common Merganser","1985","4.78"
"1290","Common Merganser","1986","2.13"
"1290","Common Merganser","1987","2.27"
"1290","Common Merganser","1988","3.52"
"1290","Common Merganser","1989","2.85"
"1290","Common Merganser","1990","3.38"
"1290","Common Merganser","1991","2.33"
"1290","Common Merganser","1992","2.16"
"1290","Common Merganser","1993","3.91"
"1290","Common Merganser","1994","3.77"
"1290","Common Merganser","1995","6.86"
"1290","Common Merganser","1996","1.7"
"1290","Common Merganser","1997","4.08"
"1290","Common Merganser","1998","2.69"
"1290","Common Merganser","1999","2.02"
"1290","Common Merganser","2000","2.76"
"1290","Common Merganser","2001","3.42"
"1290","Common Merganser","2002","2.63"
"1290","Common Merganser","2003","2.38"
"1290","Common Merganser","2004","1.43"
"1290","Common Merganser","2005","4.92"
"1290","Common Merganser","2006","2.6"
"1290","Common Merganser","2007","1.05"
"1290","Common Merganser","2008","1.08"
"1290","Common Merganser","2009","0.93"
"1290","Common Merganser","2010","2.3"
"1290","Common Merganser","2011","1.19"
"1290","Common Merganser","2012","1.16"
"1290","Common Merganser","2013","0.55"
"1290","Common Merganser","2014","0.83"
"1290","Common Merganser","2015","1.73"
"1290","Common Merganser","2016","3"
"1290","Common Merganser","2017","1.43"
"1290","Common Merganser","2018","5.4"
"1300","Red-breasted Merganser","1969","2.44"
"1300","Red-breasted Merganser","1970","3.22"
"1300","Red-breasted Merganser","1971","2.64"
"1300","Red-breasted Merganser","1972","1.72"
"1300","Red-breasted Merganser","1973","7.2"
"1300","Red-breasted Merganser","1974","6.43"
"1300","Red-breasted Merganser","1975","3"
"1300","Red-breasted Merganser","1976","4.14"
"1300","Red-breasted Merganser","1977","2.67"
"1300","Red-breasted Merganser","1978","1.17"
"1300","Red-breasted Merganser","1979","2"
"1300","Red-breasted Merganser","1980","3.08"
"1300","Red-breasted Merganser","1981","2.94"
"1300","Red-breasted Merganser","1982","3.63"
"1300","Red-breasted Merganser","1983","1.81"
"1300","Red-breasted Merganser","1984","3.15"
"1300","Red-breasted Merganser","1985","6"
"1300","Red-breasted Merganser","1986","3.13"
"1300","Red-breasted Merganser","1987","1.23"
"1300","Red-breasted Merganser","1988","2.11"
"1300","Red-breasted Merganser","1989","3.72"
"1300","Red-breasted Merganser","1990","3.4"
"1300","Red-breasted Merganser","1991","1.59"
"1300","Red-breasted Merganser","1992","1.73"
"1300","Red-breasted Merganser","1993","3.73"
"1300","Red-breasted Merganser","1994","2.71"
"1300","Red-breasted Merganser","1995","1.59"
"1300","Red-breasted Merganser","1996","1.92"
"1300","Red-breasted Merganser","1997","3.86"
"1300","Red-breasted Merganser","1998","5.05"
"1300","Red-breasted Merganser","1999","3.39"
"1300","Red-breasted Merganser","2000","1"
"1300","Red-breasted Merganser","2001","4.27"
"1300","Red-breasted Merganser","2002","3.14"
"1300","Red-breasted Merganser","2003","3"
"1300","Red-breasted Merganser","2004","1.43"
"1300","Red-breasted Merganser","2005","1.36"
"1300","Red-breasted Merganser","2006","2.45"
"1300","Red-breasted Merganser","2007","1.38"
"1300","Red-breasted Merganser","2008","1.88"
"1300","Red-breasted Merganser","2009","1.38"
"1300","Red-breasted Merganser","2010","1.84"
"1300","Red-breasted Merganser","2011","0.97"
"1300","Red-breasted Merganser","2012",""
"1300","Red-breasted Merganser","2013","1.57"
"1300","Red-breasted Merganser","2014","1.89"
"1300","Red-breasted Merganser","2015","3.73"
"1300","Red-breasted Merganser","2016",""
"1300","Red-breasted Merganser","2017","2.29"
"1300","Red-breasted Merganser","2018",""
"1310","Hooded Merganser","1969","5.4"
"1310","Hooded Merganser","1970","3.25"
"1310","Hooded Merganser","1971","4.89"
"1310","Hooded Merganser","1972","1.93"
"1310","Hooded Merganser","1973","4.84"
"1310","Hooded Merganser","1974","3.72"
"1310","Hooded Merganser","1975","7.74"
"1310","Hooded Merganser","1976","6.25"
"1310","Hooded Merganser","1977","5.08"
"1310","Hooded Merganser","1978","5.77"
"1310","Hooded Merganser","1979","3.86"
"1310","Hooded Merganser","1980","3.44"
"1310","Hooded Merganser","1981","5.74"
"1310","Hooded Merganser","1982","3.44"
"1310","Hooded Merganser","1983","3.84"
"1310","Hooded Merganser","1984","3.96"
"1310","Hooded Merganser","1985","3.4"
"1310","Hooded Merganser","1986","2.61"
"1310","Hooded Merganser","1987","2.43"
"1310","Hooded Merganser","1988","1.46"
"1310","Hooded Merganser","1989","3.57"
"1310","Hooded Merganser","1990","3.02"
"1310","Hooded Merganser","1991","3.94"
"1310","Hooded Merganser","1992","1.83"
"1310","Hooded Merganser","1993","2.27"
"1310","Hooded Merganser","1994","4.31"
"1310","Hooded Merganser","1995","3.55"
"1310","Hooded Merganser","1996","2.77"
"1310","Hooded Merganser","1997","3"
"1310","Hooded Merganser","1998","3"
"1310","Hooded Merganser","1999","2.95"
"1310","Hooded Merganser","2000","2"
"1310","Hooded Merganser","2001","2.91"
"1310","Hooded Merganser","2002","1.66"
"1310","Hooded Merganser","2003","1.93"
"1310","Hooded Merganser","2004","2.66"
"1310","Hooded Merganser","2005","2.71"
"1310","Hooded Merganser","2006","5.81"
"1310","Hooded Merganser","2007","2.74"
"1310","Hooded Merganser","2008","2.9"
"1310","Hooded Merganser","2009","2.5"
"1310","Hooded Merganser","2010","4.95"
"1310","Hooded Merganser","2011","3.86"
"1310","Hooded Merganser","2012","2.07"
"1310","Hooded Merganser","2013","2.11"
"1310","Hooded Merganser","2014","1.86"
"1310","Hooded Merganser","2015","2.46"
"1310","Hooded Merganser","2016","3.17"
"1310","Hooded Merganser","2017","3.32"
"1310","Hooded Merganser","2018","2.26"
"1320","Mallard","1969","4.72"
"1320","Mallard","1970","4.59"
"1320","Mallard","1971","3.15"
"1320","Mallard","1972","2.29"
"1320","Mallard","1973","3.06"
"1320","Mallard","1974","3.63"
"1320","Mallard","1975","4.11"
"1320","Mallard","1976","3.31"
"1320","Mallard","1977","2.68"
"1320","Mallard","1978","3.16"
"1320","Mallard","1979","2.95"
"1320","Mallard","1980","2.33"
"1320","Mallard","1981","2.12"
"1320","Mallard","1982","1.99"
"1320","Mallard","1983","3.3"
"1320","Mallard","1984","2.97"
"1320","Mallard","1985","3.31"
"1320","Mallard","1986","3.06"
"1320","Mallard","1987","3.09"
