YEAR,NF,PE,NS,NB,QC,ON,MB,SK,AB,BC,NU,NT,YK,Comments,,
1975,0,0,0,0,0,0,4,4,0,0,0,0,0,,,
1976,0,0,0,0,0,0,4,4,0,0,0,0,0,,,
1977,0,0,0,0,0,0,4,4,0,0,0,0,0,,,
1978,0,0,0,0,0,0,4,4,0,0,0,0,0,,,
1979,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1980,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1981,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1982,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1983,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1984,0,0,0,0,0,0,5,4,0,0,0,0,0,,,
1985,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1986,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1987,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1988,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1989,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1990,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1991,0,0,0,0,0,0,5,5,0,0,0,0,0,,,
1992,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1993,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1994,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1995,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1996,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1997,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1998,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
1999,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2000,0,0,0,0,0,0,5,5,0,0,0,0,2,"No bag limit found, assuming no change. ",,
2001,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2002,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2003,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2004,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2005,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2006,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2007,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2008,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2009,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2010,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2011,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2012,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2013,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2014,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2015,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2016,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2017,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2018,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
2019,0,0,0,0,0,0,5,5,0,0,0,0,2,,,
