YEAR,NF,PE,NS,NB,QC,ON,MB,SK,AB,BC,NU,NT,YK,Comments,,
1975,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1976,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1977,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1978,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1979,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1980,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1981,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1982,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1983,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1984,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1985,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1986,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1987,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1988,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1989,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1990,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1991,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1992,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1993,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1994,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1995,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1996,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1997,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1998,10,10,10,10,10,10,10,10,10,10,0,10,10,,,
1999,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2000,10,10,10,10,10,10,10,10,10,10,10,10,10,"No bag limit found, assuming no change. ",,
2001,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2002,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2003,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2004,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2005,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2006,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2007,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2008,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2009,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
2010,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2011,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2012,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2013,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2014,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2015,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2016,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2017,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2018,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
2019,10,10,10,10,10,10,10,10,8,10,10,10,10,,,
