YEAR,NF,PE,NS,NB,QC,ON,MB,SK,AB,BC,NU,NT,YK,Comments,,
1975,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1976,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1977,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1978,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1979,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1980,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1981,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1982,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1983,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1984,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1985,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1986,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1987,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1988,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1989,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1990,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1991,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1992,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1993,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1994,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1995,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1996,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1997,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1998,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
1999,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2000,0,8,8,8,8,8,0,0,0,0,0,0,0,"No bag limit found, assuming no change. ",,
2001,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2002,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2003,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2004,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2005,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2006,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2007,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2008,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2009,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2010,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2011,0,8,8,8,8,8,0,0,0,0,0,0,0,,,
2012,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2013,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2014,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2015,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2016,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2017,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2018,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
2019,0,8,8,8,8,8,8,0,0,0,0,0,0,,,
