sp,species,newvar,source,as_var,group,species_lower_case,species_sentence_case
300,Common Murre,kill_ys,murre,axcomp_axsy,,common murre,Common murre
310,Thick-billed Murre,kill_ys,murre,axcomp_axsy,,thick-billed murre,Thick-billed murre
1290,Common Merganser,kill_ys,duck,axcomp_axsy,diving_ducks,common merganser,Common merganser
1300,Red-breasted Merganser,kill_ys,duck,axcomp_axsy,diving_ducks,red-breasted merganser,Red-breasted merganser
1310,Hooded Merganser,kill_ys,duck,axcomp_axsy,diving_ducks,hooded merganser,Hooded merganser
1320,Mallard,kill_ys,duck,axcomp_axsy,puddle_ducks,mallard,Mallard
1330,American Black Duck,kill_ys,duck,axcomp_axsy,puddle_ducks,American black duck,American black duck
1350,Gadwall,kill_ys,duck,axcomp_axsy,puddle_ducks,gadwall,Gadwall
1360,Eurasian Wigeon,kill_ys,duck,axcomp_axsy,puddle_ducks,eurasian wigeon,Eurasian wigeon
1370,American Wigeon,kill_ys,duck,axcomp_axsy,puddle_ducks,American wigeon,American wigeon
1380,Eurasian Green-winged Teal,kill_ys,duck,axcomp_axsy,puddle_ducks,Eurasian green-winged teal,Eurasian green-winged teal
1390,American Green-winged Teal,kill_ys,duck,axcomp_axsy,puddle_ducks,American green-winged teal,American green-winged teal
1400,Blue-winged Teal,kill_ys,duck,axcomp_axsy,puddle_ducks,blue-winged teal,Blue-winged teal
1420,Northern Shoveler,kill_ys,duck,axcomp_axsy,puddle_ducks,northern shoveler,Northern shoveler
1430,Northern Pintail,kill_ys,duck,axcomp_axsy,puddle_ducks,northern pintail,Northern pintail
1440,Wood Duck,kill_ys,duck,axcomp_axsy,puddle_ducks,wood duck,Wood duck
1460,Redhead,kill_ys,duck,axcomp_axsy,puddle_ducks,redhead,Redhead
1470,Canvasback,kill_ys,duck,axcomp_axsy,puddle_ducks,canvasback,Canvasback
1480,Greater Scaup,kill_ys,duck,axcomp_axsy,sea_ducks,greater scaup,Greater scaup
1490,Lesser Scaup,kill_ys,duck,axcomp_axsy,sea_ducks,lesser scaup,Lesser scaup
1500,Ring-necked Duck,kill_ys,duck,axcomp_axsy,sea_ducks,ring-necked duck,Ring-necked duck
1510,Common Goldeneye,kill_ys,duck,axcomp_axsy,sea_ducks,common goldeneye,Common goldeneye
1520,Barrow's Goldeneye,kill_ys,duck,axcomp_axsy,sea_ducks,Barrow's goldeneye,Barrow's goldeneye
1530,Bufflehead,kill_ys,duck,axcomp_axsy,sea_ducks,bufflehead,Bufflehead
1540,Long-Tailed Duck,kill_ys,duck,axcomp_axsy,diving_ducks,long-tailed duck,Long-tailed duck
1550,Harlequin Duck,kill_ys,duck,axcomp_axsy,diving_ducks,harlequin duck,Harlequin duck
1590,Common Eider,kill_ys,duck,axcomp_axsy,sea_ducks,common eider,Common eider
1620,King Eider,kill_ys,duck,axcomp_axsy,sea_ducks,king eider,King eider
1630,Black Scoter,kill_ys,duck,axcomp_axsy,sea_ducks,black scoter,Black scoter
1650,White-winged Scoter,kill_ys,duck,axcomp_axsy,sea_ducks,white-winged scoter,White-winged scoter
1660,Surf Scoter,kill_ys,duck,axcomp_axsy,sea_ducks,surf scoter,Surf scoter
1670,Ruddy Duck,kill_ys,duck,axcomp_axsy,puddle_ducks,ruddy duck,Ruddy duck
1690,Lesser Snow Goose: white phase,kill_ys,goose,axcomp_axsy,,lesser snow goose: white phase,Lesser snow goose: white phase
1691,Lesser Snow Goose: blue phase,kill_ys,goose,axcomp_axsy,,lesser snow goose: blue phase,Lesser snow goose: blue phase
1699,Greater Snow Goose,kill_ys,goose,axcomp_axsy,,greater snow goose,Greater snow goose
1700,Ross' Goose,kill_ys,goose,axcomp_axsy,,Ross' goose,Ross' goose
1710,White-fronted Goose,kill_ys,goose,axcomp_axsy,,white-fronted goose,White-fronted goose
1720,Canada Goose,kill_ys,goose,axcomp_axsy,,Canada goose,Canada goose
1721,Canada Goose: small races,kill_ys,goose,axcomp_axsy,,Canada goose: small races,Canada goose: small races
1722,Canada Goose: large races,kill_ys,goose,axcomp_axsy,,Canada goose: large races,Canada goose: large races
1730,Brant,kill_ys,goose,axcomp_axsy,,brant,Brant
1740,Black Brant,kill_ys,goose,axcomp_axsy,,black brant,Black brant
